Country,ISO3,EM1,EM2,EM3,EM4,Aggregate_EM_Score
GREECE,GRC,0.365,-0.942,0.764,3.375,27.5
AUSTRIA,AUT,0.35,-0.933,0.833,3.263,27.2
TAIWAN,TWN,0.302,-0.937,0.838,2.593,26.2
KOREA (SOUTH),KOR,0.363,-0.933,0.706,3.205,24.1
JAPAN,JPN,0.43,-0.93,0.602,3.992,23.1
BELGIUM,BEL,0.442,-0.91,0.709,3.308,22.5
PORTUGAL,PRT,0.367,-0.922,0.746,2.474,22.2
ITALY,ITA,0.461,-0.916,0.686,3.245,21.2
PHILIPPINES,PHL,0.43,-0.855,0.745,3.5,21.1
THAILAND,THA,0.452,-0.906,0.738,3.043,20.8
SINGAPORE,SGP,0.35,-0.914,0.713,2.034,20.6
INDONESIA,IDN,0.502,-0.896,0.695,5.667,20.4
GERMANY,DEU,0.501,-0.882,0.855,2.825,18.8
SPAIN,ESP,0.476,-0.894,0.543,7.333,18.8
HONG KONG,HKG,0.466,-0.898,0.635,3.214,18.5
SWITZERLAND,CHE,0.483,-0.893,0.582,5.077,18.2
DENMARK,DNK,0.516,-0.926,0.557,3.227,18.0
MALAYSIA,MYS,0.449,-0.9,0.663,2.4,17.2
PAKISTAN,PAK,0.517,-0.911,0.552,2.643,15.2
FRANCE,FRA,0.507,-0.896,0.626,2.559,14.6
INDIA,IND,0.573,-0.88,0.529,6.0,14.4
NETHERLANDS,NLD,0.554,-0.884,0.516,4.929,14.0
SWEDEN,SWE,0.602,-0.85,0.533,2.565,9.0
CANADA,CAN,0.62,-0.83,0.538,2.402,7.4
NORWAY,NOR,0.573,-0.786,0.627,1.314,7.1
FINLAND,FIN,0.631,-0.849,0.539,2.119,7.0
UNITED KINGDOM,GBR,0.624,-0.857,0.435,2.071,6.2
AUSTRALIA,AUS,0.617,-0.83,0.47,1.844,4.9
IRELAND,IRL,0.713,-0.853,0.402,1.5,3.8
UNITED STATES,USA,0.732,-0.789,0.525,1.912,3.5
SOUTH AFRICA,ZAF,0.669,-0.823,0.326,1.364,2.2
